,article_name,article_quality,country,revision_id,population
3091,Martin Fedor,Start,Slovakia,783728475,5424051
3092,Michal Drobný,Start,Slovakia,784223555,5424051
3093,Ján Francisci-Rimavský,Start,Slovakia,784736749,5424051
3094,Štefan Tiso,Stub,Slovakia,785445513,5424051
3095,Štefan Sádovský,Stub,Slovakia,785445559,5424051
3096,Jozef Sivák,Stub,Slovakia,785445753,5424051
3097,Jozef Šesták,Start,Slovakia,786406916,5424051
3098,Ľudovít Černák,Stub,Slovakia,786777266,5424051
3099,Jaroslav Svěchota,Start,Slovakia,787333985,5424051
3100,Irena Belohorská,Start,Slovakia,790608265,5424051
3101,Zita Pleštinská,Start,Slovakia,790608276,5424051
3102,Milan Haborák,Start,Slovakia,791285765,5424051
3103,Anton Neuwirth,Start,Slovakia,791735982,5424051
3104,List of Slovak politicians,Stub,Slovakia,791841710,5424051
3105,Edit Bauer,Start,Slovakia,793624162,5424051
3106,Ferdinand Čatloš,Stub,Slovakia,793755425,5424051
3107,Ivan Gašparovič,C,Slovakia,793874255,5424051
3108,Iveta Radičová,GA,Slovakia,795537190,5424051
3109,Andrej Hrnčiar,C,Slovakia,796183843,5424051
3110,Maroš Šefčovič,Start,Slovakia,800278210,5424051
3111,Lucia Žitňanská,Stub,Slovakia,800724197,5424051
3112,Augustín Čisár,Stub,Slovakia,801380292,5424051
3113,Ján Slota,GA,Slovakia,801409353,5424051
3114,Viera Petríková,Stub,Slovakia,802653595,5424051
3115,Katarína Tóthová,Stub,Slovakia,802655416,5424051
3116,Ondrej Binder,Stub,Slovakia,803294527,5424051
3117,Marian Kotleba,C,Slovakia,803661441,5424051
3118,Peter Šťastný,C,Slovakia,803697955,5424051
3119,Vladimír Clementis,Start,Slovakia,804519400,5424051
3120,Gustáv Husák,C,Slovakia,805319388,5424051
3121,Andrej Kiska,C,Slovakia,806670125,5424051
3122,Ján Kollár,Start,Slovakia,806822611,5424051
3123,Jozef Miloslav Hurban,Start,Slovakia,807370008,5424051
3124,Robert Fico,B,Slovakia,807388887,5424051
3125,Template:Slovenia-politician-stub,Stub,Slovenia,394482891,2064000
3126,Template:Slovenia-diplomat-stub,Stub,Slovenia,540993236,2064000
3127,Hiša Marije Pomočnice,Stub,Slovenia,624468970,2064000
3128,List of Slovenian politicians,Stub,Slovenia,679559247,2064000
3129,Franci Slak,Start,Slovenia,691045510,2064000
3130,Franci Kek,Stub,Slovenia,708473880,2064000
3131,Katja Boh,Start,Slovenia,715002768,2064000
3132,Etbin Kristan,Start,Slovenia,717589260,2064000
3133,Ludvik Toplak,Start,Slovenia,720291870,2064000
3134,Matija Škerbec,C,Slovenia,721867174,2064000
3135,Valentin Zarnik,Stub,Slovenia,723006063,2064000
3136,Drago Marušič,Start,Slovenia,723568459,2064000
3137,Matija Majar,Start,Slovenia,729913395,2064000
3138,Ljubica Jelušič,Stub,Slovenia,730293750,2064000
3139,Jelko Kacin,Start,Slovenia,730652372,2064000
3140,Mojca Kleva,Start,Slovenia,730674032,2064000
3141,Template:Slovenia-MEP-stub,Stub,Slovenia,730719582,2064000
3142,József Klekl (politician),Start,Slovenia,730725988,2064000
3143,Tomaž Marušič,Stub,Slovenia,731848951,2064000
3144,Anton Novačan,Start,Slovenia,744645271,2064000
3145,József Klekl (writer),Start,Slovenia,748747928,2064000
3146,Dejan Židan,Stub,Slovenia,751242571,2064000
3147,Alenka Smerkolj,Start,Slovenia,751243434,2064000
3148,Tone Partljič,Start,Slovenia,753811952,2064000
3149,Majda Širca,Start,Slovenia,768472670,2064000
3150,Cankar Centre,Start,Slovenia,768526499,2064000
3151,Ivo Vajgl,Stub,Slovenia,772511038,2064000
3152,Vilmos Tkálecz,Stub,Slovenia,772511383,2064000
3153,Anja Bah Žibert,Stub,Slovenia,774615452,2064000
3154,Katja Koren,Start,Slovenia,775073864,2064000
3155,Mária Pozsonec,Start,Slovenia,775368951,2064000
3156,József Szakovics,Start,Slovenia,777924826,2064000
3157,Franc Snoj,Stub,Slovenia,779035961,2064000
3158,Ivan Cankar,B,Slovenia,781863742,2064000
3159,Marta Brilej,Start,Slovenia,782014775,2064000
3160,Lev Kreft,Stub,Slovenia,782158855,2064000
3161,Miro Steržaj,Start,Slovenia,782637247,2064000
3162,József Borovnyák,Start,Slovenia,782976795,2064000
3163,Spomenka Hribar,C,Slovenia,784578705,2064000
3164,István Kühár,Stub,Slovenia,786986422,2064000
3165,Roman Kirn,Stub,Slovenia,788030262,2064000
3166,Angela Vode,C,Slovenia,789199782,2064000
3167,Tomaž Ertl,Stub,Slovenia,789273182,2064000
3168,Mojca Drčar Murko,Stub,Slovenia,790608291,2064000
3169,Tanja Fajon,C,Slovenia,790608301,2064000
3170,Blaž Kavčič (politician),Stub,Slovenia,791679825,2064000
3171,Božidar Jakac,C,Slovenia,792070941,2064000
3172,Boris Furlan,C,Slovenia,797969620,2064000
3173,Igor Šoltes,Start,Slovenia,798288705,2064000
3174,Alojzija Štebi,GA,Slovenia,798488329,2064000
3175,Lambert Ehrlich,C,Slovenia,800228623,2064000
3176,Romana Jordan Cizelj,Start,Slovenia,800716994,2064000
3177,Eva Irgl,Start,Slovenia,800818597,2064000
3178,Andrej Benedejčič,Start,Slovenia,801279018,2064000
3179,Andrej Osterman,Stub,Slovenia,801383756,2064000
3180,Ivan Kramberger,Start,Slovenia,803451102,2064000
3181,Janez Janša,B,Slovenia,804943051,2064000
3182,Violeta Bulc,Start,Slovenia,806901419,2064000
3183,Alenka Bikar,Start,Slovenia,806983705,2064000
3184,Template:Afghanistan-politician-stub,Stub,Afghanistan,394580295,32247000
3185,Template:Afghanistan-mayor-stub,Stub,Afghanistan,443496992,32247000
3186,Template:Afghanistan-diplomat-stub,Stub,Afghanistan,540459929,32247000
3187,Daud Arsala,Stub,Afghanistan,627547024,32247000
3188,Murad Quenili,Stub,Afghanistan,670462475,32247000
3189,Badar,Stub,Afghanistan,671455150,32247000
3190,Mohammed Qalamuddin,Stub,Afghanistan,671473289,32247000
3191,Faizanullah Faizan,Stub,Afghanistan,703507854,32247000
3192,Mohammad Fahim Dashty,Stub,Afghanistan,706112927,32247000
3193,Aamir Latif,Stub,Afghanistan,708476182,32247000
3194,Mohammed Islam Mohammadi,Stub,Afghanistan,709439380,32247000
3195,Musa Hotak,Stub,Afghanistan,710004254,32247000
3196,Naqibullah Orya Khail,Start,Afghanistan,710066519,32247000
3197,Hazrat-U-Din,Stub,Afghanistan,710715953,32247000
3198,Qari Ziauddin,Start,Afghanistan,712832121,32247000
3199,Mohammad Siddiq Chakari,Stub,Afghanistan,713113246,32247000
3200,Sayed Abdul Karim Hashimi,Stub,Afghanistan,715179680,32247000
3201,Mohammad Nabi Safi,Stub,Afghanistan,715926834,32247000
3202,Shah Mahmood Safi,Stub,Afghanistan,715926905,32247000
3203,Zefnoon Safai,Stub,Afghanistan,716814855,32247000
3204,Abdul Zahir (Konar Education Minister),Stub,Afghanistan,717252806,32247000
3205,Mohammad Daud Miraki,Start,Afghanistan,717365624,32247000
3206,Osman Osmani,Stub,Afghanistan,717366122,32247000
3207,Shahnaz Himmeti,Stub,Afghanistan,717624594,32247000
3208,Zahera Ahmadyar Mawlayee,Stub,Afghanistan,717733887,32247000
3209,Malali Ishaqzai,Stub,Afghanistan,717743144,32247000
3210,Mohammad Hashem Taufiqui,Start,Afghanistan,717921766,32247000
3211,Khalid Farooqi,Stub,Afghanistan,718002836,32247000
3212,Muhammad Hashim Esmatullahi,Stub,Afghanistan,718019701,32247000
3213,Khairullah Anosh,Stub,Afghanistan,718052714,32247000
3214,Abdul Baqi Turkistani,Stub,Afghanistan,718250607,32247000
3215,Zabih-U-llah Ghazi Noristani,Start,Afghanistan,718362010,32247000
3216,Hasan Ali Sultani,Stub,Afghanistan,718362588,32247000
3217,Ghulam Faroq Nijrabi,Stub,Afghanistan,718364221,32247000
3218,Sahib Rahman,Stub,Afghanistan,718382045,32247000
3219,Gul Haar Jalal,Stub,Afghanistan,718383950,32247000
3220,Sahira Sharif,Start,Afghanistan,718384584,32247000
3221,Toorpekai,Stub,Afghanistan,718384771,32247000
3222,Baktash Siawash,Stub,Afghanistan,718882885,32247000
3223,Mohammed Tahir Omar,Stub,Afghanistan,718933282,32247000
3224,Abdul Malik Hamwar,Stub,Afghanistan,720125764,32247000
3225,Syed Gulam Farooq Mirranay,Start,Afghanistan,720408323,32247000
3226,Abdul Bagi Baryal,Stub,Afghanistan,720586068,32247000
3227,Nasruddin Mohseni,Start,Afghanistan,721524808,32247000
3228,Ahmad Khan Samangani,Start,Afghanistan,721999414,32247000
3229,Awtar Singh,Stub,Afghanistan,722198152,32247000
3230,Alhaj Mutalib Baig,Stub,Afghanistan,722893996,32247000
3231,Al-Haj Suliman Yari,Stub,Afghanistan,723481980,32247000
3232,Mohammad Ghous Bashiri,Start,Afghanistan,723709911,32247000
3233,Zalmai Mojadidi,Start,Afghanistan,724355183,32247000
3234,Sayed Jalal,Start,Afghanistan,726625715,32247000
3235,List of rulers of Afghanistan,Stub,Afghanistan,727899635,32247000
3236,Fariba Ahmadi Kakar,Stub,Afghanistan,728644481,32247000
3237,Sultan Jan,Stub,Afghanistan,729099380,32247000
3238,Majah Ha Adrif,Start,Afghanistan,729386082,32247000
3239,Mohammad Gul (Helmand Council),Stub,Afghanistan,730949872,32247000
3240,Ahmad Shah Khan Asakzai,Stub,Afghanistan,731353196,32247000
3241,Kashmir Khan,Start,Afghanistan,731397902,32247000
3242,Haroon al-Afghani,C,Afghanistan,731512019,32247000
3243,Nematullah Shahrani,Stub,Afghanistan,737761144,32247000
3244,Abdul Hadi Arghandiwal,Stub,Afghanistan,739136660,32247000
3245,Abdul Hafiz Mansoor,Stub,Afghanistan,739695950,32247000
3246,Mohammad Daud Sultanzoy,Start,Afghanistan,741518574,32247000
3247,Abdul Qayum Wardak,Stub,Afghanistan,742229423,32247000
3248,Abdullah Khan Tarzi,Start,Afghanistan,742237237,32247000
3249,Mohammad Aman,Start,Afghanistan,745190115,32247000
3250,Qutbuddin Hilal,Start,Afghanistan,746242701,32247000
3251,Zabihullah (Balkh),Stub,Afghanistan,747783201,32247000
3252,Razaq Mamoon,Start,Afghanistan,748084336,32247000
3253,Sayed Nasim Mihanparast,Stub,Afghanistan,748224926,32247000
3254,Said Mohammad Ali Jawid,Stub,Afghanistan,748594441,32247000
3255,Azizullah Lodin,Stub,Afghanistan,748841875,32247000
3256,Mirwais Sadiq,Stub,Afghanistan,749355761,32247000
3257,List of governors of Jowzjan,Stub,Afghanistan,749593657,32247000
3258,Ghulam Dastagir Azad,Stub,Afghanistan,749952986,32247000
3259,Mohammad Omar (Afghan governor),Start,Afghanistan,750347412,32247000
3260,Atiqullah Ludin,Start,Afghanistan,750535372,32247000
3261,Hamidullah Qalandarzai,Start,Afghanistan,750544170,32247000
3262,Mohammad Iqbal Azizi,Stub,Afghanistan,750549549,32247000
3263,Hakim Taniwal,Start,Afghanistan,750561890,32247000
3264,Abdul Ghani Ghani,Stub,Afghanistan,751150581,32247000
3265,Amin Karim,Start,Afghanistan,751299201,32247000
3266,Pacha Gul Wafadar,Stub,Afghanistan,751959879,32247000
3267,Ghulam Qawis Abubaker,Stub,Afghanistan,752026068,32247000
3268,Sayed Ahmad Haqbeen,Stub,Afghanistan,752332885,32247000
3269,Abdul Sattar Murad,Stub,Afghanistan,753124044,32247000
3270,Hanifa Safi,Stub,Afghanistan,754262111,32247000
3271,Sardar Mohammad Nadir Naeem,Stub,Afghanistan,755110536,32247000
3272,Burhanullah Shinwari,Stub,Afghanistan,755254358,32247000
3273,Nasrullah Baryalai Arsalai,C,Afghanistan,755339031,32247000
3274,Rafiullah Bidar,Stub,Afghanistan,755351182,32247000
3275,Sayed Mohammad Gulabzoy,Start,Afghanistan,756609530,32247000
3276,Habibullah Qaderi,Stub,Afghanistan,757538650,32247000
3277,Lutfullah Mashal,Start,Afghanistan,757800105,32247000
3278,Template:Presidents of Afghanistan,Stub,Afghanistan,758302567,32247000
3279,Massouda Jalal,Start,Afghanistan,759405630,32247000
3280,Davood Moradian,Stub,Afghanistan,759449241,32247000
3281,Ghulam Mohammad Rigi,Stub,Afghanistan,759489824,32247000
3282,Shafiqa Habibi,C,Afghanistan,759778743,32247000
3283,Ghulam Mohammad Ghobar,Stub,Afghanistan,761685512,32247000
3284,List of ambassadors of Afghanistan,Stub,Afghanistan,762527227,32247000
3285,Sayed Mustafa Kazemi,Stub,Afghanistan,763083773,32247000
3286,Tayyab Agha,Stub,Afghanistan,763438364,32247000
3287,Abdul Wahed Sorabi,Stub,Afghanistan,764743041,32247000
3288,Mohammad Ghous,Stub,Afghanistan,765965877,32247000
3289,Ahmad Wali Massoud,Stub,Afghanistan,766167980,32247000
3290,Jan Baz,Stub,Afghanistan,766272734,32247000
3291,Mohammad Nasim Faqiri,Start,Afghanistan,766309040,32247000
3292,Cheragh Ali Cheragh,Start,Afghanistan,767150678,32247000
3293,Saber Sangar,Stub,Afghanistan,767427725,32247000
3294,Ravan A. G. Farhâdi,C,Afghanistan,768137506,32247000
3295,Faizullah Kakar,C,Afghanistan,769025347,32247000
3296,Faramarz Tamanna,C,Afghanistan,769061187,32247000
3297,Sohaila Sharifi,Stub,Afghanistan,770239277,32247000
3298,Enayatullah Nazari,Stub,Afghanistan,770448889,32247000
3299,Mohammad Ishaq Aloko,Start,Afghanistan,770905450,32247000
3300,Mohammad Hashim Khan,Stub,Afghanistan,771055245,32247000
3301,Sultan Hamid Sultan,Stub,Afghanistan,772765313,32247000
3302,Hajji Muhammad Arif Zarif,Stub,Afghanistan,772804054,32247000
3303,Sayed Zafar Hashemi,Stub,Afghanistan,774179658,32247000
3304,Anarkali Kaur Honaryar,Stub,Afghanistan,774499188,32247000
3305,Ismail Qasim Yar,Stub,Afghanistan,775523762,32247000
3306,Sima Samar,C,Afghanistan,775966269,32247000
3307,Mohammed Rafie,Stub,Afghanistan,776933374,32247000
3308,Habibullah Jan,Stub,Afghanistan,777525023,32247000
3309,Mohammad Sarwar Ahmadzai,Start,Afghanistan,777625464,32247000
3310,Abdul Malik Anwar,Stub,Afghanistan,777874646,32247000
3311,Husn Banu Ghazanfar,Start,Afghanistan,778690357,32247000
3312,Nur ul-Haq Ulumi,C,Afghanistan,779084312,32247000
3313,Roqia Abubakr,Stub,Afghanistan,779389407,32247000
3314,Rahila Bibi Kobra Alamshahi,Stub,Afghanistan,779389809,32247000
3315,Khadija Ahrari,Stub,Afghanistan,779839643,32247000
3316,Sharif Fayez,Stub,Afghanistan,780326218,32247000
3317,Mohammad Asim Asim,Stub,Afghanistan,780468605,32247000
3318,Mohibullah Samim,Stub,Afghanistan,780566383,32247000
3319,Musa Khan Ahmadzai,Stub,Afghanistan,780765630,32247000
3320,Mohammad Tamim Nuristani,Stub,Afghanistan,780939825,32247000
3321,Jamaluddin Badr,Start,Afghanistan,780939867,32247000
3322,Mohammed Hashim Watanwal,Start,Afghanistan,780940202,32247000
3323,Munshi Abdul Majid,Start,Afghanistan,781002628,32247000
3324,Mohammad Hashim Zare,Stub,Afghanistan,781002810,32247000
3325,Roohul Amin,Stub,Afghanistan,781002975,32247000
3326,Mohammad Akbar Barakzai,Stub,Afghanistan,781167880,32247000
3327,Mohammad Bashir Qant Chah Abi,Stub,Afghanistan,781169029,32247000
3328,Template:Monarchs of Afghanistan,Stub,Afghanistan,781791356,32247000
3329,Abdul Hai Neamati,Stub,Afghanistan,781990193,32247000
3330,Abdul Qadir Nuristani,Stub,Afghanistan,781990452,32247000
3331,Baz Mohammad Ahmadi,Stub,Afghanistan,782271549,32247000
3332,Ibrahim Malikzada,Stub,Afghanistan,782271562,32247000
3333,Sayyed Mohammad Eqbal Munib,Stub,Afghanistan,782271570,32247000
3334,Bashir Baghlani,Start,Afghanistan,782663330,32247000
3335,Fazal Haq Mujahid,C,Afghanistan,782845346,32247000
3336,Atiqullah Atifmal,C,Afghanistan,782848556,32247000
3337,Mahboba Hoqomal,Stub,Afghanistan,782978230,32247000
3338,Mohammad Shakir Kargar,Stub,Afghanistan,783321773,32247000
3339,Mahbob-U-lah Koshani,Stub,Afghanistan,783717361,32247000
3340,Mohammad Khan (athlete),Stub,Afghanistan,783898506,32247000
3341,Samoud Khan,Start,Afghanistan,785150345,32247000
3342,Salamat Azimi,Start,Afghanistan,785284556,32247000
3343,Delbar Nazari,Start,Afghanistan,785284614,32247000
3344,Hamidullah Niyazmand,Stub,Afghanistan,785352771,32247000
3345,Mohammed Alim Razm,Stub,Afghanistan,786830658,32247000
3346,Masuma Esmati-Wardak,Start,Afghanistan,787258680,32247000
3347,Maryam Durani,C,Afghanistan,787347770,32247000
3348,Mullah Ghani,Stub,Afghanistan,787348558,32247000
3349,Nasrin Oryakhil,Start,Afghanistan,787352628,32247000
3350,Abdul Ghafor Zori,Stub,Afghanistan,787396242,32247000
3351,Abdul Latif Ibrahimi,Stub,Afghanistan,787398553,32247000
3352,Abdul Qadir Alam,Stub,Afghanistan,787399854,32247000
3353,Abdul Qadir Imami Ghori,Stub,Afghanistan,787399889,32247000
3354,Abdul Rahim Ayoubi,C,Afghanistan,787400308,32247000
3355,Abdur Razzaq (Taliban Interior Minister),Stub,Afghanistan,787408432,32247000
3356,Abdul Rahman Pazhwak,Start,Afghanistan,787914131,32247000
3357,Abdul Samad Khaksar,Start,Afghanistan,787914141,32247000
3358,Rouh Gul Khairzad,Stub,Afghanistan,788030456,32247000
3359,Suhaila Seddiqi,C,Afghanistan,788520176,32247000
3360,Farida Momand,Start,Afghanistan,788591677,32247000
3361,Suraya Dalil,Start,Afghanistan,788684997,32247000
3362,Azim Khan,Stub,Afghanistan,788851566,32247000
3363,Amir Muhammad Akhundzada,Start,Afghanistan,788882411,32247000
3364,Ibrahim Spinzada,Start,Afghanistan,789234893,32247000
3365,Mohammed Zaman,Start,Afghanistan,789359940,32247000
3366,Arsala Rahmani Daulat,Start,Afghanistan,789787876,32247000
3367,Assadullah Wafa,Stub,Afghanistan,789969188,32247000
3368,Aziza Ahmadyar,Start,Afghanistan,790315322,32247000
3369,Abdul Ahad Wardak,Start,Afghanistan,790711812,32247000
3370,Naeem Baloch,Stub,Afghanistan,791077429,32247000
3371,Abdul Ghafar Lakanwal,Start,Afghanistan,791219668,32247000
3372,Sayed Yousuf Mirranay,C,Afghanistan,791329143,32247000
3373,Habiba Sarobi,Start,Afghanistan,791417213,32247000
3374,Sayed Jalal Karim,Start,Afghanistan,792790722,32247000
3375,Shakiba Hashemi,Start,Afghanistan,792853350,32247000
3376,Mohammad Rauf Mehdi,Stub,Afghanistan,793152042,32247000
3377,Wahid Omar,Start,Afghanistan,793429853,32247000
3378,Shinkai Karokhail,C,Afghanistan,793950185,32247000
3379,Hashmat Ghani Ahmadzai,Start,Afghanistan,794028379,32247000
3380,Abdul Sabur Farid Kohistani,Stub,Afghanistan,794072920,32247000
3381,Jan Mohammad Khan,GA,Afghanistan,794478106,32247000
3382,Abdul Karim Mustaghni,Stub,Afghanistan,795022269,32247000
3383,Nilofar Sakhi,C,Afghanistan,795223533,32247000
3384,Ali Shah Durrani,Stub,Afghanistan,795268854,32247000
3385,Ayub Shah Durrani,Stub,Afghanistan,795269744,32247000
3386,Mohammed Nadir Shah,C,Afghanistan,795274242,32247000
3387,Mohammad Yaqub Khan,Start,Afghanistan,795275279,32247000
3388,Ghulam Muhammad Tarzi,Start,Afghanistan,795276004,32247000
3389,Wazir Akbar Khan,C,Afghanistan,795276382,32247000
3390,Shuja Shah Durrani,Stub,Afghanistan,795276435,32247000
3391,Abdul Qadir (Afghan communist),C,Afghanistan,795276759,32247000
3392,Haji Mohammad Chamkani,Stub,Afghanistan,795278213,32247000
3393,"List of candidates in the Afghan presidential election, 2009",GA,Afghanistan,795279646,32247000
3394,Rangin Dadfar Spanta,C,Afghanistan,795280443,32247000
3395,Zarar Ahmad Osmani,Start,Afghanistan,795280683,32247000
3396,Mirwais Yasini,C,Afghanistan,795282116,32247000
3397,Habibullah Karzai,Stub,Afghanistan,795282600,32247000
3398,Azizullah Karzai,Start,Afghanistan,795282782,32247000
3399,Motasim Billah Mazhabi,Start,Afghanistan,795283296,32247000
3400,Wazir Arsala Khan,Stub,Afghanistan,795283501,32247000
3401,Sibghatullah Mojaddedi,C,Afghanistan,795285982,32247000
3402,Musahiban,Start,Afghanistan,795287565,32247000
3403,Ezatullah (Nangarhar),Stub,Afghanistan,795483379,32247000
3404,Qurban Ali Oruzgani,Start,Afghanistan,795654542,32247000
3405,Shukria Barakzai,C,Afghanistan,795919634,32247000
3406,Abdul Majid Samim,Stub,Afghanistan,796060040,32247000
3407,Shah Shujah Durrani,C,Afghanistan,796493730,32247000
3408,Abdul Haq (Afghan leader),GA,Afghanistan,796569814,32247000
3409,Bashir Ahmad Bezan,Stub,Afghanistan,796615232,32247000
3410,Muhammad Yunus Nawandish,Start,Afghanistan,796676748,32247000
3411,Abdul Rahman (Afghan minister),Stub,Afghanistan,796885432,32247000
3412,Abdullah Wardak,C,Afghanistan,796885985,32247000
3413,Abdul Ahad Karzai,Start,Afghanistan,796975361,32247000
3414,Arsala Jamal,B,Afghanistan,797002885,32247000
3415,Amanullah Khan,C,Afghanistan,797048177,32247000
3416,Zeenat Karzai,Start,Afghanistan,797072546,32247000
3417,Ahmed Wali Karzai,GA,Afghanistan,797074740,32247000
3418,Burhanuddin Rabbani,C,Afghanistan,797089185,32247000
3419,Inayatullah Khan,Stub,Afghanistan,797153892,32247000
3420,Nasrullah Khan (Afghanistan),GA,Afghanistan,797155187,32247000
3421,Mohammad Azam Khan,Stub,Afghanistan,797156968,32247000
3422,Mohammad Afzal Khan,Stub,Afghanistan,797157277,32247000
3423,Ahmad Behzad,Start,Afghanistan,797216331,32247000
3424,Delbar Jan Arman,Stub,Afghanistan,797343976,32247000
3425,Sayed Anwar Rahmati,Stub,Afghanistan,797570527,32247000
3426,Hekmat Karzai,Start,Afghanistan,797673897,32247000
3427,Noorulah Delwari,Start,Afghanistan,797728695,32247000
3428,Abdul Qadir (Afghan leader),C,Afghanistan,798059926,32247000
3429,List of governors of Baghlan,Start,Afghanistan,798792201,32247000
3430,Malalai Shinwari,Stub,Afghanistan,798873145,32247000
3431,Massoud Khalili,GA,Afghanistan,798923237,32247000
3432,Mirza Muhammad Ismail,B,Afghanistan,799013122,32247000
3433,Mohammad Shafiq Hamdam,C,Afghanistan,799023086,32247000
3434,Mohammed Zia Salehi,Stub,Afghanistan,799023841,32247000
3435,Muhammad Ali Jalali,Stub,Afghanistan,799046878,32247000
3436,Muhammad Arif Sarwari,Start,Afghanistan,799046977,32247000
3437,Amrullah Saleh,FA,Afghanistan,799215547,32247000
3438,Mohammad Nazar Faqiri (Baghlan 1955),Stub,Afghanistan,799467889,32247000
3439,Robina Muqimyar,C,Afghanistan,799980094,32247000
3440,Said Tayeb Jawad,C,Afghanistan,800049528,32247000
3441,Salahuddin Rabbani,C,Afghanistan,800053449,32247000
3442,Shah Waliullah Adeeb,Start,Afghanistan,800127655,32247000
3443,Shahla Ata,Start,Afghanistan,800128121,32247000
3444,Shakila (Kabul),Stub,Afghanistan,800129584,32247000
3445,Sitara Achakzai,Start,Afghanistan,800175991,32247000
3446,First Lady of Afghanistan,Start,Afghanistan,800356996,32247000
3447,Abdul Jabbar Taqwa,Stub,Afghanistan,800455166,32247000
3448,Humayun Azizi,Start,Afghanistan,800555876,32247000
3449,Abdullah Habibi,Start,Afghanistan,801207685,32247000
3450,Ziauddin (Afghan militia leader),Start,Afghanistan,801335999,32247000
3451,Sher Ali Khan,Start,Afghanistan,801436815,32247000
3452,Sharif Ghalib,B,Afghanistan,801469201,32247000
3453,Aimal Faizi,Stub,Afghanistan,801589377,32247000
3454,Soraya Tarzi,C,Afghanistan,801632337,32247000
3455,Ali Mohammad,Stub,Afghanistan,801927558,32247000
3456,Abdul Jabbar Naeemi,Stub,Afghanistan,801936110,32247000
3457,Rahmatullah Nabil,Start,Afghanistan,801936928,32247000
3458,Shah Gul Rezai,Stub,Afghanistan,802280148,32247000
3459,Seema Jowenda,Start,Afghanistan,802286319,32247000
3460,Mohammad Mohaqiq,Start,Afghanistan,802320704,32247000
3461,Ramazan Bashardost,C,Afghanistan,802320895,32247000
3462,Ezatullah Mujahid,Stub,Afghanistan,802515929,32247000
3463,Mir Akbar Khyber,Start,Afghanistan,802550537,32247000
3464,Anahita Ratebzad,C,Afghanistan,802551672,32247000
3465,Presidency of Hamid Karzai,B,Afghanistan,802697878,32247000
3466,Fareeda Kuchi Balkhi,Start,Afghanistan,802764676,32247000
3467,Wahidullah Waissi,GA,Afghanistan,802795569,32247000
3468,Fauzia Gailani,Start,Afghanistan,802860970,32247000
3469,Laghman Province,GA,Afghanistan,803055503,32247000
3470,Mullah Mohammad Hasan,Stub,Afghanistan,803686558,32247000
3471,Mohammad Najibullah,B,Afghanistan,803705974,32247000
3472,Abdul Rahim Hatif,Stub,Afghanistan,803706243,32247000
3473,Abdul Rashid Dostum,C,Afghanistan,803775914,32247000
3474,Abdur Rahman Khan,C,Afghanistan,803792380,32247000
3475,Azra Jafari,C,Afghanistan,803841397,32247000
3476,Ahmad Shah Massoud,GA,Afghanistan,803983131,32247000
3477,Zalmai Wesa,Stub,Afghanistan,804091843,32247000
3478,Baran Khan Kudezai,Start,Afghanistan,804099373,32247000
3479,Babrak Karmal,GA,Afghanistan,804299877,32247000
3480,Frozan Fana,Start,Afghanistan,804349394,32247000
3481,Qari Ahmadullah,Stub,Afghanistan,804577359,32247000
3482,Mohammed Daoud Khan,C,Afghanistan,804938633,32247000
3483,Abdul Salam Zaeef,C,Afghanistan,805226789,32247000
3484,Fazlullah Wahidi,Start,Afghanistan,805345658,32247000
3485,Gholam Rabani Nasher,Stub,Afghanistan,805454844,32247000
3486,Ghulam Haider Hamidi,Start,Afghanistan,805473052,32247000
3487,Ghulam Hassan Safi,Stub,Afghanistan,805473670,32247000
3488,Mohammed Zahir Shah,GA,Afghanistan,805772298,32247000
3489,Nur Muhammad Taraki,GA,Afghanistan,805821343,32247000
3490,Malalai Joya,GA,Afghanistan,805920528,32247000
3491,Mahmud Shah Durrani,Start,Afghanistan,805922525,32247000
3492,Durrani dynasty,GA,Afghanistan,805924089,32247000
3493,Habibullāh Kalakāni,C,Afghanistan,805957551,32247000
3494,Mohammed Omar,GA,Afghanistan,806029147,32247000
3495,Hafizullah Amin,GA,Afghanistan,806216425,32247000
3496,Barakzai dynasty,C,Afghanistan,806407981,32247000
3497,Ismail Balkhi,Start,Afghanistan,806409054,32247000
3498,Abdullah Abdullah,C,Afghanistan,806496321,32247000
3499,Dost Mohammad Khan (Emir of Afghanistan),C,Afghanistan,806499548,32247000
3500,List of heads of state of Afghanistan,C,Afghanistan,806607200,32247000
3501,Fawzia Koofi,GA,Afghanistan,806916131,32247000
3502,Farkhunda Zahra Naderi,C,Afghanistan,806994231,32247000
3503,Gul Ahmmad Yama,Start,Afghanistan,806996844,32247000
3504,Hamid Karzai,GA,Afghanistan,807045523,32247000
3505,Mohammad Khaksar,Stub,Afghanistan,807280653,32247000
3506,Ayub Khan (Emir of Afghanistan),Start,Afghanistan,807356026,32247000
3507,Habibullah Khan,Start,Afghanistan,807390748,32247000
3508,Ashraf Ghani,C,Afghanistan,807405698,32247000
3509,Qadria Yazdanparast,Start,Afghanistan,807414229,32247000
3510,Hafizullah Shabaz Khail,Start,Afghanistan,807426425,32247000
3511,Template:Iraq-politician-stub,Stub,Iraq,394580630,37056000
3512,Template:Iraq-mayor-stub,Stub,Iraq,443499367,37056000
3513,Template:Iraq-activist-stub,Stub,Iraq,535446194,37056000
3514,Template:Iraq-diplomat-stub,Stub,Iraq,617753923,37056000
3515,Ali al-Bahadili,Stub,Iraq,671516033,37056000
